sru_type,speed,search_object,search_object_size,speed_correction_factor
FIXED,150.00000,PIW,1,1.20
FIXED,150.00000,POWERBOAT,8,1.10
FIXED,150.00000,POWERBOAT,10,1.10
FIXED,150.00000,POWERBOAT,16,1.10
FIXED,150.00000,POWERBOAT,24,1.10
FIXED,150.00000,RAFT,4,1.10
FIXED,150.00000,RAFT,6,1.10
FIXED,150.00000,SAILBOAT,8,1.10
FIXED,150.00000,SAILBOAT,12,1.10
FIXED,150.00000,SAILBOAT,25,1.10
FIXED,150.00000,SHIP,27,1.00
FIXED,180.00000,PIW,1,1.00
FIXED,180.00000,POWERBOAT,8,1.00
FIXED,180.00000,POWERBOAT,10,1.00
FIXED,180.00000,POWERBOAT,16,1.00
FIXED,180.00000,POWERBOAT,24,1.00
FIXED,180.00000,RAFT,4,1.00
FIXED,180.00000,RAFT,6,1.00
FIXED,180.00000,SAILBOAT,8,1.00
FIXED,180.00000,SAILBOAT,12,1.00
FIXED,180.00000,SAILBOAT,25,1.00
FIXED,180.00000,SHIP,27,1.00
FIXED,210.00000,PIW,1,0.90
FIXED,210.00000,POWERBOAT,8,0.90
FIXED,210.00000,POWERBOAT,10,0.90
FIXED,210.00000,POWERBOAT,16,1.00
FIXED,210.00000,POWERBOAT,24,1.00
FIXED,210.00000,RAFT,4,0.90
FIXED,210.00000,RAFT,6,0.90
FIXED,210.00000,SAILBOAT,8,0.90
FIXED,210.00000,SAILBOAT,12,1.00
FIXED,210.00000,SAILBOAT,25,1.00
FIXED,210.00000,SHIP,27,1.00
ROTARY,60.00000,PIW,1,1.50
ROTARY,60.00000,POWERBOAT,8,1.20
ROTARY,60.00000,POWERBOAT,10,1.10
ROTARY,60.00000,POWERBOAT,16,1.10
ROTARY,60.00000,POWERBOAT,24,1.10
ROTARY,60.00000,RAFT,4,1.30
ROTARY,60.00000,RAFT,6,1.20
ROTARY,60.00000,SAILBOAT,8,1.20
ROTARY,60.00000,SAILBOAT,12,1.10
ROTARY,60.00000,SAILBOAT,25,1.10
ROTARY,60.00000,SHIP,27,1.10
ROTARY,90.00000,PIW,1,1.00
ROTARY,90.00000,POWERBOAT,8,1.00
ROTARY,90.00000,POWERBOAT,10,1.00
ROTARY,90.00000,POWERBOAT,16,1.00
ROTARY,90.00000,POWERBOAT,24,1.00
ROTARY,90.00000,RAFT,4,1.00
ROTARY,90.00000,RAFT,6,1.00
ROTARY,90.00000,SAILBOAT,8,1.00
ROTARY,90.00000,SAILBOAT,12,1.00
ROTARY,90.00000,SAILBOAT,25,1.00
ROTARY,90.00000,SHIP,27,1.00
ROTARY,120.00000,PIW,1,0.80
ROTARY,120.00000,POWERBOAT,8,0.90
ROTARY,120.00000,POWERBOAT,10,0.90
ROTARY,120.00000,POWERBOAT,16,0.90
ROTARY,120.00000,POWERBOAT,24,1.00
ROTARY,120.00000,RAFT,4,0.90
ROTARY,120.00000,RAFT,6,0.90
ROTARY,120.00000,SAILBOAT,8,0.90
ROTARY,120.00000,SAILBOAT,12,0.90
ROTARY,120.00000,SAILBOAT,25,1.00
ROTARY,120.00000,SHIP,27,1.00
ROTARY,140.00000,PIW,1,0.70
ROTARY,140.00000,POWERBOAT,8,0.80
ROTARY,140.00000,POWERBOAT,10,0.90
ROTARY,140.00000,POWERBOAT,16,0.90
ROTARY,140.00000,POWERBOAT,24,0.90
ROTARY,140.00000,RAFT,4,0.80
ROTARY,140.00000,RAFT,6,0.80
ROTARY,140.00000,SAILBOAT,8,0.90
ROTARY,140.00000,SAILBOAT,12,0.90
ROTARY,140.00000,SAILBOAT,25,0.90
ROTARY,140.00000,SHIP,27,0.90
