sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
BOAT,0,1,PIW,1,0.20
BOAT,0,1,POWERBOAT,4,0.40
BOAT,0,1,POWERBOAT,5,0.80
BOAT,0,1,POWERBOAT,7,0.80
BOAT,0,1,POWERBOAT,8,0.80
BOAT,0,1,POWERBOAT,12,0.80
BOAT,0,1,POWERBOAT,13,0.90
BOAT,0,1,POWERBOAT,20,0.90
BOAT,0,1,POWERBOAT,21,0.90
BOAT,0,1,POWERBOAT,26,0.90
BOAT,0,1,RAFT,1,0.70
BOAT,0,1,RAFT,4,0.70
BOAT,0,1,RAFT,6,0.80
BOAT,0,1,RAFT,8,0.80
BOAT,0,1,RAFT,10,0.80
BOAT,0,1,RAFT,15,0.90
BOAT,0,1,RAFT,20,0.90
BOAT,0,1,RAFT,25,0.90
BOAT,0,1,SAILBOAT,5,0.80
BOAT,0,1,SAILBOAT,6,0.80
BOAT,0,1,SAILBOAT,8,0.90
BOAT,0,1,SAILBOAT,9,0.90
BOAT,0,1,SAILBOAT,12,0.90
BOAT,0,1,SAILBOAT,15,0.90
BOAT,0,1,SAILBOAT,20,0.90
BOAT,0,1,SAILBOAT,23,0.90
BOAT,0,1,SAILBOAT,24,0.90
BOAT,0,1,SAILBOAT,26,0.90
BOAT,0,1,SHIP,27,1.40
BOAT,0,1,SHIP,45,1.40
BOAT,0,1,SHIP,46,1.40
BOAT,0,1,SHIP,90,1.40
BOAT,0,1,SHIP,91,1.40
BOAT,0,3,PIW,1,0.20
BOAT,0,3,POWERBOAT,4,0.80
BOAT,0,3,POWERBOAT,5,1.50
BOAT,0,3,POWERBOAT,7,1.50
BOAT,0,3,POWERBOAT,8,1.90
BOAT,0,3,POWERBOAT,12,1.90
BOAT,0,3,POWERBOAT,13,2.40
BOAT,0,3,POWERBOAT,20,2.40
BOAT,0,3,POWERBOAT,21,2.50
BOAT,0,3,POWERBOAT,26,2.50
BOAT,0,3,RAFT,1,1.30
BOAT,0,3,RAFT,4,1.70
BOAT,0,3,RAFT,6,1.90
BOAT,0,3,RAFT,8,2.00
BOAT,0,3,RAFT,10,2.00
BOAT,0,3,RAFT,15,2.20
BOAT,0,3,RAFT,20,2.30
BOAT,0,3,RAFT,25,2.40
BOAT,0,3,SAILBOAT,5,1.50
BOAT,0,3,SAILBOAT,6,1.70
BOAT,0,3,SAILBOAT,8,1.90
BOAT,0,3,SAILBOAT,9,2.10
BOAT,0,3,SAILBOAT,12,2.30
BOAT,0,3,SAILBOAT,15,2.40
BOAT,0,3,SAILBOAT,20,2.50
BOAT,0,3,SAILBOAT,23,2.50
BOAT,0,3,SAILBOAT,24,2.50
BOAT,0,3,SAILBOAT,26,2.50
BOAT,0,3,SHIP,27,2.50
BOAT,0,3,SHIP,45,2.50
BOAT,0,3,SHIP,46,2.60
BOAT,0,3,SHIP,90,2.60
BOAT,0,3,SHIP,91,2.60
BOAT,0,5,PIW,1,0.30
BOAT,0,5,POWERBOAT,4,1.10
BOAT,0,5,POWERBOAT,5,2.20
BOAT,0,5,POWERBOAT,7,2.20
BOAT,0,5,POWERBOAT,8,2.90
BOAT,0,5,POWERBOAT,12,2.90
BOAT,0,5,POWERBOAT,13,3.90
BOAT,0,5,POWERBOAT,20,3.90
BOAT,0,5,POWERBOAT,21,4.30
BOAT,0,5,POWERBOAT,26,4.30
BOAT,0,5,RAFT,1,1.70
BOAT,0,5,RAFT,4,2.20
BOAT,0,5,RAFT,6,2.60
BOAT,0,5,RAFT,8,2.70
BOAT,0,5,RAFT,10,2.80
BOAT,0,5,RAFT,15,3.00
BOAT,0,5,RAFT,20,3.30
BOAT,0,5,RAFT,25,3.50
BOAT,0,5,SAILBOAT,5,2.10
BOAT,0,5,SAILBOAT,6,2.50
BOAT,0,5,SAILBOAT,8,2.80
BOAT,0,5,SAILBOAT,9,3.20
BOAT,0,5,SAILBOAT,12,3.80
BOAT,0,5,SAILBOAT,15,4.00
BOAT,0,5,SAILBOAT,20,4.20
BOAT,0,5,SAILBOAT,23,4.20
BOAT,0,5,SAILBOAT,24,4.40
BOAT,0,5,SAILBOAT,26,4.40
BOAT,0,5,SHIP,27,4.60
BOAT,0,5,SHIP,45,4.60
BOAT,0,5,SHIP,46,4.90
BOAT,0,5,SHIP,90,4.90
BOAT,0,5,SHIP,91,4.90
BOAT,0,10,PIW,1,0.30
BOAT,0,10,POWERBOAT,4,1.50
BOAT,0,10,POWERBOAT,5,3.30
BOAT,0,10,POWERBOAT,7,3.30
BOAT,0,10,POWERBOAT,8,4.70
BOAT,0,10,POWERBOAT,12,4.70
BOAT,0,10,POWERBOAT,13,7.00
BOAT,0,10,POWERBOAT,20,7.00
BOAT,0,10,POWERBOAT,21,8.30
BOAT,0,10,POWERBOAT,26,8.30
BOAT,0,10,RAFT,1,2.30
BOAT,0,10,RAFT,4,3.10
BOAT,0,10,RAFT,6,3.60
BOAT,0,10,RAFT,8,3.80
BOAT,0,10,RAFT,10,4.00
BOAT,0,10,RAFT,15,4.30
BOAT,0,10,RAFT,20,4.90
BOAT,0,10,RAFT,25,5.20
BOAT,0,10,SAILBOAT,5,3.00
BOAT,0,10,SAILBOAT,6,3.70
BOAT,0,10,SAILBOAT,8,4.40
BOAT,0,10,SAILBOAT,9,5.30
BOAT,0,10,SAILBOAT,12,6.60
BOAT,0,10,SAILBOAT,15,7.30
BOAT,0,10,SAILBOAT,20,7.90
BOAT,0,10,SAILBOAT,23,7.90
BOAT,0,10,SAILBOAT,24,8.30
BOAT,0,10,SAILBOAT,26,8.30
BOAT,0,10,SHIP,27,9.30
BOAT,0,10,SHIP,45,9.30
BOAT,0,10,SHIP,46,10.30
BOAT,0,10,SHIP,90,10.30
BOAT,0,10,SHIP,91,10.90
BOAT,0,15,PIW,1,0.30
BOAT,0,15,POWERBOAT,4,1.60
BOAT,0,15,POWERBOAT,5,4.00
BOAT,0,15,POWERBOAT,7,4.00
BOAT,0,15,POWERBOAT,8,5.90
BOAT,0,15,POWERBOAT,12,5.90
BOAT,0,15,POWERBOAT,13,9.30
BOAT,0,15,POWERBOAT,20,9.30
BOAT,0,15,POWERBOAT,21,11.40
BOAT,0,15,POWERBOAT,26,11.40
BOAT,0,15,RAFT,1,2.60
BOAT,0,15,RAFT,4,3.50
BOAT,0,15,RAFT,6,4.30
BOAT,0,15,RAFT,8,4.40
BOAT,0,15,RAFT,10,4.80
BOAT,0,15,RAFT,15,5.10
BOAT,0,15,RAFT,20,5.80
BOAT,0,15,RAFT,25,6.30
BOAT,0,15,SAILBOAT,5,3.60
BOAT,0,15,SAILBOAT,6,4.60
BOAT,0,15,SAILBOAT,8,5.40
BOAT,0,15,SAILBOAT,9,6.60
